record_id,date,site_id,cell_id,region,technology,availability_percent,latency_ms,throughput_mbps,call_drop_rate,handover_success_rate,traffic_volume_gb,active_users
KPI-001495,2024-02-18,SITE-0224,CELL-00135,West,5G,99.91,9.58,655.0,0.24,99.35,96.89,7417
KPI-003174,2024-02-18,SITE-0018,CELL-01784,North,4G,97.69,32.4,46.81,2.59,99.14,425.41,8074
KPI-000918,2024-02-18,SITE-0420,CELL-01779,Central,3G,97.78,115.98,6.81,0.12,96.45,773.73,5444
KPI-002488,2024-02-18,SITE-0059,CELL-01229,East,5G,97.49,3.52,158.0,0.47,98.28,493.47,3658
KPI-001781,2024-02-18,SITE-0229,CELL-00156,East,5G,97.24,5.65,949.41,1.22,97.07,15.82,7785
KPI-003602,2024-02-18,SITE-0365,CELL-01606,North,4G,98.91,47.25,58.85,2.27,99.64,184.05,7048
KPI-004283,2024-02-18,SITE-0358,CELL-00846,North,4G,98.5,46.57,128.21,1.64,97.85,295.58,8716
KPI-001180,2024-02-18,SITE-0423,CELL-00126,South,4G,98.8,45.74,120.82,1.2,99.73,61.13,6485
KPI-003582,2024-02-19,SITE-0303,CELL-01468,North,5G,99.19,8.66,146.33,0.81,96.17,967.18,8410
KPI-002212,2024-02-19,SITE-0101,CELL-00725,North,3G,91.29,168.95,14.4,2.92,96.07,406.31,8157
KPI-004961,2024-02-19,SITE-0027,CELL-01763,West,4G,96.32,45.88,96.83,1.78,99.75,486.57,7479
KPI-004767,2024-02-19,SITE-0357,CELL-01413,East,4G,99.16,31.19,67.69,2.26,97.75,14.02,4107
KPI-003459,2024-02-19,SITE-0142,CELL-01281,South,4G,97.79,36.38,86.98,2.01,96.39,878.0,8738
KPI-001187,2024-02-19,SITE-0465,CELL-01116,Central,3G,94.59,108.93,17.3,0.92,97.93,975.54,9182
KPI-000392,2024-02-19,SITE-0426,CELL-00418,Central,5G,98.75,4.72,936.31,0.96,98.68,764.48,1738
KPI-004687,2024-02-19,SITE-0106,CELL-01669,North,4G,98.35,48.95,135.49,1.32,95.53,700.97,511
KPI-000027,2024-02-19,SITE-0296,CELL-00825,Central,5G,97.19,7.54,166.15,0.57,97.66,436.45,2110
KPI-001408,2024-02-19,SITE-0153,CELL-00235,South,5G,97.83,4.73,288.77,0.94,99.31,478.9,4945
KPI-003615,2024-02-19,SITE-0302,CELL-00281,West,4G,98.11,35.87,141.89,1.12,98.36,175.24,4675
KPI-000852,2024-02-19,SITE-0043,CELL-00226,East,3G,92.6,130.23,7.46,2.5,97.73,214.8,799
KPI-003494,2024-02-20,SITE-0322,CELL-01911,West,3G,91.37,193.34,17.44,2.85,97.12,678.72,571
KPI-003570,2024-02-20,SITE-0257,CELL-01265,East,5G,97.85,2.59,549.99,2.06,99.64,429.5,4796
KPI-003384,2024-02-20,SITE-0463,CELL-01205,Central,5G,97.84,7.72,615.42,0.22,99.86,144.93,5719
KPI-002496,2024-02-20,SITE-0431,CELL-01080,Central,4G,99.29,49.79,96.49,0.4,96.59,76.29,7787
KPI-002189,2024-02-20,SITE-0351,CELL-01559,Central,4G,96.18,26.98,86.84,2.63,99.46,878.37,1723
KPI-000791,2024-02-20,SITE-0051,CELL-01751,West,5G,97.3,6.69,980.44,1.08,99.23,164.93,5963
KPI-000393,2024-02-20,SITE-0418,CELL-01196,West,5G,99.16,9.1,934.46,0.07,95.02,573.24,433
KPI-001517,2024-02-20,SITE-0088,CELL-01572,Central,5G,97.02,4.57,816.49,1.81,99.17,455.77,7010
KPI-002206,2024-02-20,SITE-0489,CELL-01642,East,5G,97.81,2.82,280.11,2.37,96.47,956.15,4451
KPI-000619,2024-02-20,SITE-0346,CELL-00165,Central,4G,95.44,22.73,104.27,2.59,97.8,83.55,1846
KPI-002339,2024-02-20,SITE-0353,CELL-01036,West,5G,97.52,4.4,177.62,2.79,95.85,529.53,1650
KPI-004024,2024-02-20,SITE-0424,CELL-00522,Central,3G,97.99,135.84,17.37,0.5,98.32,684.51,880
KPI-002219,2024-02-20,SITE-0010,CELL-01790,South,5G,99.68,9.95,943.76,1.56,99.03,430.57,7888
KPI-003613,2024-02-20,SITE-0376,CELL-01569,North,4G,96.01,22.48,110.7,1.32,98.46,785.85,1222
KPI-004919,2024-02-20,SITE-0076,CELL-01607,East,5G,97.44,3.4,384.48,1.41,98.27,156.25,6861
KPI-001599,2024-02-21,SITE-0172,CELL-00364,South,5G,97.29,4.24,961.69,1.09,95.11,31.03,8376
KPI-003869,2024-02-21,SITE-0283,CELL-01903,South,3G,96.48,94.37,17.58,1.66,98.58,472.85,1567
KPI-002265,2024-02-21,SITE-0465,CELL-01769,East,5G,98.48,6.32,766.48,0.81,99.03,688.49,3895
KPI-002693,2024-02-21,SITE-0360,CELL-00629,North,5G,98.92,8.59,339.15,2.09,98.95,352.45,2616
KPI-000996,2024-02-21,SITE-0194,CELL-00236,Central,3G,94.03,184.41,12.65,0.64,96.03,53.69,4422
KPI-004682,2024-02-21,SITE-0357,CELL-01058,Central,5G,99.87,3.77,610.24,2.63,95.47,65.62,9361
KPI-004728,2024-02-21,SITE-0050,CELL-00298,South,4G,96.51,48.7,63.08,1.62,97.57,642.82,3580
KPI-002645,2024-02-21,SITE-0306,CELL-00139,Central,5G,97.01,4.44,497.95,0.55,97.4,892.9,9331
KPI-004778,2024-02-21,SITE-0001,CELL-00112,West,3G,91.53,163.87,1.22,2.0,96.32,379.23,272
KPI-002669,2024-02-21,SITE-0095,CELL-00612,South,5G,98.45,9.17,414.32,1.8,98.75,116.36,5245
KPI-000055,2024-02-21,SITE-0438,CELL-00484,West,4G,95.25,45.04,73.58,2.1,98.18,328.34,5346
KPI-002413,2024-02-21,SITE-0091,CELL-00839,Central,4G,98.77,28.68,88.07,2.74,99.8,620.14,3520
KPI-002649,2024-02-21,SITE-0004,CELL-01444,West,4G,97.42,34.61,138.71,0.59,95.15,704.18,9432
KPI-001817,2024-02-21,SITE-0085,CELL-00307,North,3G,90.48,120.58,6.55,1.22,97.49,600.9,6785
KPI-000054,2024-02-21,SITE-0068,CELL-00680,East,3G,96.57,193.02,6.71,2.33,98.52,724.87,2412
KPI-004250,2024-02-21,SITE-0009,CELL-01295,South,3G,97.66,117.42,17.0,1.42,99.86,350.58,6214
KPI-002402,2024-02-21,SITE-0330,CELL-01032,Central,5G,99.01,8.07,633.12,2.86,99.02,436.02,2246
KPI-001881,2024-02-21,SITE-0240,CELL-01175,West,5G,99.08,8.43,654.75,1.23,98.06,504.57,8468
KPI-002014,2024-02-21,SITE-0404,CELL-01568,North,4G,99.41,43.14,96.77,1.5,96.61,713.65,8675
KPI-001692,2024-02-22,SITE-0057,CELL-00660,Central,3G,90.08,148.42,5.21,1.93,95.49,723.98,6198
KPI-001207,2024-02-22,SITE-0140,CELL-01821,East,3G,91.31,131.16,11.18,2.67,97.9,541.02,9617
KPI-003014,2024-02-22,SITE-0229,CELL-00188,West,4G,99.17,27.98,139.97,0.9,99.08,20.43,3482
KPI-001077,2024-02-22,SITE-0486,CELL-01000,West,3G,93.28,198.69,7.41,2.34,97.74,11.39,3464
KPI-002073,2024-02-22,SITE-0110,CELL-01008,North,5G,99.92,4.43,532.96,0.29,99.24,145.38,6804
KPI-002633,2024-02-22,SITE-0309,CELL-00698,West,4G,96.66,21.45,112.56,1.35,95.94,950.13,6817
KPI-004113,2024-02-22,SITE-0488,CELL-01825,West,4G,95.99,23.82,70.51,0.02,97.84,554.42,8530
KPI-000728,2024-02-22,SITE-0301,CELL-01522,East,5G,99.8,2.6,262.55,1.63,97.09,809.08,3764
KPI-000952,2024-02-22,SITE-0294,CELL-00136,South,4G,98.26,37.15,115.66,0.26,98.3,548.03,572
KPI-001233,2024-02-22,SITE-0249,CELL-00636,East,4G,97.11,47.68,101.85,2.57,96.68,165.58,1234
KPI-002406,2024-02-22,SITE-0093,CELL-01593,West,5G,97.63,9.97,902.14,0.5,95.95,506.86,9089
KPI-000294,2024-02-22,SITE-0049,CELL-01052,Central,4G,97.87,32.33,137.37,1.55,96.03,10.78,3090
KPI-001915,2024-02-22,SITE-0343,CELL-00052,West,3G,90.74,190.75,12.96,2.28,96.73,506.29,691
KPI-000978,2024-02-22,SITE-0217,CELL-01912,Central,3G,90.03,116.09,3.12,1.63,99.04,65.26,6238
KPI-004954,2024-02-22,SITE-0329,CELL-01341,West,4G,98.4,30.67,80.9,1.53,97.33,842.51,2232
KPI-000249,2024-02-22,SITE-0009,CELL-01576,Central,5G,98.79,7.65,423.29,0.14,98.22,277.91,8168
KPI-002708,2024-02-22,SITE-0385,CELL-00382,East,4G,98.06,30.74,42.12,1.36,98.05,716.32,283
KPI-002696,2024-02-22,SITE-0419,CELL-01863,Central,3G,95.38,114.78,9.3,1.49,98.98,612.13,986
KPI-004019,2024-02-23,SITE-0416,CELL-00429,Central,5G,99.02,5.17,339.64,2.22,99.32,176.61,5280
KPI-000108,2024-02-23,SITE-0124,CELL-00346,South,4G,95.3,49.35,105.35,0.71,96.35,791.97,4234
KPI-002949,2024-02-23,SITE-0144,CELL-01836,Central,4G,98.73,38.13,117.74,0.73,99.15,11.97,5993
KPI-002872,2024-02-23,SITE-0137,CELL-00967,West,3G,93.35,181.29,14.0,2.41,96.15,455.04,5763
KPI-004957,2024-02-23,SITE-0458,CELL-00812,East,5G,98.96,4.64,675.38,0.86,99.28,914.9,438
KPI-000936,2024-02-23,SITE-0069,CELL-00648,North,3G,95.37,156.4,9.38,1.04,99.69,684.71,775
KPI-002604,2024-02-23,SITE-0079,CELL-01633,Central,4G,98.27,25.03,36.45,0.27,95.26,74.06,7105
KPI-000383,2024-02-23,SITE-0212,CELL-01213,East,5G,98.46,3.04,240.42,2.48,96.01,101.34,8884
KPI-001200,2024-02-23,SITE-0363,CELL-00964,West,3G,90.74,81.62,4.4,1.29,96.13,809.41,3824
KPI-003249,2024-02-23,SITE-0338,CELL-01762,West,4G,96.71,32.29,66.92,2.44,99.55,897.1,7882
KPI-004194,2024-02-23,SITE-0096,CELL-00530,East,3G,94.25,101.4,2.17,1.14,96.18,631.35,284
KPI-004214,2024-02-23,SITE-0045,CELL-01313,West,5G,98.77,6.34,397.28,2.96,95.43,270.16,3085
KPI-003037,2024-02-24,SITE-0394,CELL-00134,Central,5G,98.64,7.58,616.43,0.7,95.66,354.68,1978
KPI-003712,2024-02-24,SITE-0264,CELL-01643,South,5G,99.94,4.93,725.68,2.0,98.29,428.45,688
KPI-000434,2024-02-24,SITE-0003,CELL-00316,Central,5G,97.74,7.31,601.7,1.48,95.83,107.65,1883
KPI-001099,2024-02-24,SITE-0056,CELL-01850,South,3G,94.6,182.21,10.78,0.83,97.48,82.2,5577
KPI-003618,2024-02-24,SITE-0010,CELL-01012,West,3G,97.99,124.54,2.12,1.99,97.24,706.88,9905
KPI-001880,2024-02-24,SITE-0197,CELL-00109,South,4G,95.2,27.05,121.71,1.58,96.82,801.09,4367
KPI-000563,2024-02-24,SITE-0413,CELL-00952,East,5G,98.72,6.43,431.61,1.63,95.61,161.7,753
KPI-000216,2024-02-24,SITE-0022,CELL-01042,South,4G,98.51,34.99,36.31,2.59,99.62,848.28,6211
KPI-001622,2024-02-24,SITE-0159,CELL-00264,South,5G,97.31,2.35,707.51,0.24,97.29,849.7,2301
KPI-004640,2024-02-24,SITE-0490,CELL-00762,North,4G,96.78,48.47,68.44,2.86,98.21,783.27,1780
KPI-004866,2024-02-24,SITE-0323,CELL-00821,North,3G,92.4,101.31,10.84,2.55,95.95,156.41,7381
KPI-001836,2024-02-24,SITE-0067,CELL-00524,North,4G,98.14,45.73,101.39,2.67,96.85,802.8,5089
KPI-000299,2024-02-24,SITE-0120,CELL-00283,North,3G,92.68,199.01,18.31,0.71,95.63,785.25,5442
KPI-000066,2024-02-24,SITE-0038,CELL-00230,Central,5G,97.15,1.46,669.61,2.99,96.36,965.32,586
KPI-000462,2024-02-24,SITE-0383,CELL-01581,Central,5G,97.9,2.46,358.72,1.47,97.18,358.34,7218
KPI-000814,2024-02-24,SITE-0415,CELL-00744,North,5G,97.65,4.45,312.22,2.12,95.36,639.84,9808
KPI-000633,2024-02-24,SITE-0385,CELL-00364,Central,3G,90.33,120.17,16.97,2.2,96.14,14.9,3168
KPI-003724,2024-02-24,SITE-0159,CELL-01978,West,5G,99.58,1.99,266.27,2.31,97.08,521.55,9384
KPI-003167,2024-02-25,SITE-0042,CELL-00444,East,3G,95.51,104.82,7.71,1.5,97.61,71.88,3246
KPI-002827,2024-02-25,SITE-0067,CELL-00922,South,5G,99.78,7.51,394.16,2.8,96.55,194.16,9331
KPI-004174,2024-02-25,SITE-0471,CELL-00295,Central,5G,97.4,7.67,674.01,0.55,97.83,374.03,5968
KPI-002783,2024-02-25,SITE-0120,CELL-00814,West,5G,97.01,6.19,117.42,2.44,95.66,888.96,5992
KPI-003110,2024-02-25,SITE-0403,CELL-00473,Central,5G,98.58,7.79,669.1,1.24,95.41,934.11,8041
KPI-002741,2024-02-25,SITE-0034,CELL-01949,South,5G,99.91,1.97,719.84,1.97,99.81,637.94,1739
KPI-001669,2024-02-25,SITE-0411,CELL-00677,North,3G,91.01,178.47,4.36,0.02,96.18,93.44,6419
KPI-003277,2024-02-25,SITE-0344,CELL-00966,North,3G,92.59,116.58,13.85,2.71,95.05,989.19,669
KPI-003377,2024-02-25,SITE-0464,CELL-00761,South,4G,98.06,30.31,87.23,0.28,95.56,827.42,8703
KPI-002209,2024-02-25,SITE-0313,CELL-01167,South,4G,96.42,42.88,92.18,2.41,97.7,158.46,2637
KPI-004389,2024-02-25,SITE-0098,CELL-01193,East,3G,95.08,115.52,15.44,0.46,98.14,571.37,7762
KPI-004344,2024-02-25,SITE-0479,CELL-01317,South,3G,95.21,123.26,8.09,0.22,97.6,546.39,766
KPI-004891,2024-02-25,SITE-0234,CELL-00470,East,5G,98.76,1.15,363.21,0.03,95.76,730.54,9988
KPI-000332,2024-02-25,SITE-0493,CELL-01775,North,4G,97.02,32.45,76.0,2.99,95.28,185.48,9368
KPI-001675,2024-02-25,SITE-0066,CELL-00614,East,3G,95.66,171.56,12.74,0.7,95.99,62.86,1172
KPI-003404,2024-02-25,SITE-0193,CELL-01061,Central,4G,97.74,21.03,144.25,2.14,95.73,666.58,5601
KPI-000076,2024-02-25,SITE-0044,CELL-00451,East,3G,93.96,179.71,12.01,0.03,95.54,675.42,8438
KPI-001547,2024-02-25,SITE-0122,CELL-00815,West,4G,99.08,44.25,85.81,0.98,97.58,466.36,7040
KPI-001994,2024-02-25,SITE-0377,CELL-01562,West,5G,99.17,1.06,617.1,0.9,98.11,607.26,851
KPI-001402,2024-02-25,SITE-0289,CELL-00702,Central,5G,97.78,1.26,952.12,0.49,97.97,337.07,9303
KPI-002762,2024-02-25,SITE-0061,CELL-01280,North,3G,95.11,108.49,14.97,1.54,97.92,976.99,4489
KPI-004827,2024-02-25,SITE-0314,CELL-00771,South,3G,91.63,188.37,12.92,1.19,98.88,199.47,1269
KPI-001368,2024-02-26,SITE-0457,CELL-01084,West,3G,93.04,136.07,11.58,0.6,95.98,142.46,6941
KPI-004263,2024-02-26,SITE-0363,CELL-01824,East,3G,94.6,119.16,1.18,1.48,95.0,822.1,5521
KPI-004932,2024-02-26,SITE-0285,CELL-00314,North,5G,98.04,5.23,123.65,2.57,97.91,421.78,4893
KPI-002559,2024-02-26,SITE-0461,CELL-01721,North,5G,99.07,8.5,563.87,0.44,97.36,466.04,4576
KPI-002150,2024-02-26,SITE-0297,CELL-00961,Central,5G,97.54,1.7,465.36,0.2,98.82,371.57,1748
KPI-004813,2024-02-26,SITE-0351,CELL-00974,West,5G,97.56,1.78,170.02,0.97,96.46,810.0,9151
KPI-000919,2024-02-26,SITE-0257,CELL-01758,South,5G,97.07,7.72,988.5,1.49,98.47,319.47,6757
KPI-001287,2024-02-26,SITE-0194,CELL-01811,South,5G,99.09,2.84,121.04,0.66,95.34,386.95,8739
KPI-002524,2024-02-26,SITE-0129,CELL-01249,Central,3G,92.24,97.98,5.16,0.89,96.07,448.97,8075
KPI-002262,2024-02-26,SITE-0268,CELL-01363,Central,4G,95.11,36.98,111.6,1.39,98.25,266.77,3063
KPI-002178,2024-02-26,SITE-0195,CELL-00940,West,5G,97.46,2.42,227.94,2.5,98.63,346.89,1327
KPI-004045,2024-02-26,SITE-0461,CELL-00935,South,5G,99.35,5.46,224.57,0.6,99.6,875.55,1672
KPI-001446,2024-02-27,SITE-0227,CELL-00415,South,5G,97.11,8.75,673.5,2.59,96.44,964.1,631
KPI-004067,2024-02-27,SITE-0316,CELL-00944,East,3G,94.08,199.49,2.02,1.88,97.27,770.68,2887
KPI-000982,2024-02-27,SITE-0380,CELL-00568,East,4G,98.39,23.55,139.07,2.44,96.05,669.84,290
KPI-003201,2024-02-27,SITE-0249,CELL-01628,South,5G,99.12,9.38,798.21,0.84,95.9,718.32,7873
KPI-003203,2024-02-27,SITE-0411,CELL-00410,West,5G,98.1,8.69,175.63,2.74,99.4,53.1,5802
KPI-001968,2024-02-27,SITE-0062,CELL-00958,East,5G,97.95,7.95,678.79,2.69,95.48,564.31,5627
KPI-004735,2024-02-27,SITE-0157,CELL-01950,North,5G,99.72,1.88,964.85,1.21,98.82,610.77,1248
KPI-001406,2024-02-27,SITE-0072,CELL-01366,East,4G,96.08,20.6,81.33,1.23,99.56,679.4,3441
KPI-001729,2024-02-27,SITE-0496,CELL-00233,East,3G,91.06,136.55,18.49,0.19,95.55,967.67,8305
KPI-003370,2024-02-27,SITE-0316,CELL-00387,West,3G,95.71,156.26,11.38,0.2,99.7,61.5,3970
KPI-001332,2024-02-27,SITE-0483,CELL-01374,Central,3G,96.22,139.62,6.87,2.0,98.9,687.24,6623
KPI-003373,2024-02-27,SITE-0144,CELL-01865,North,4G,99.24,31.37,145.47,1.17,95.54,57.03,3308
KPI-002135,2024-02-27,SITE-0218,CELL-01434,South,3G,94.26,160.55,18.55,1.01,96.41,909.28,4408
KPI-001101,2024-02-27,SITE-0216,CELL-01079,South,5G,98.46,8.33,979.5,0.36,98.06,307.97,1445
KPI-003985,2024-02-27,SITE-0356,CELL-01585,North,4G,96.75,21.83,93.33,1.71,98.12,304.2,2309
KPI-004797,2024-02-27,SITE-0178,CELL-01422,Central,3G,91.52,156.15,16.42,2.91,98.13,580.49,6156
KPI-004350,2024-02-27,SITE-0368,CELL-00145,East,3G,93.67,81.47,13.17,0.35,96.55,278.82,7218
KPI-001698,2024-02-27,SITE-0099,CELL-00632,West,3G,97.03,174.43,1.76,2.98,98.52,836.0,5037
KPI-001557,2024-02-28,SITE-0247,CELL-00116,Central,4G,95.08,37.34,65.43,2.31,99.08,640.98,6424
KPI-004617,2024-02-28,SITE-0181,CELL-01149,East,3G,90.59,144.3,10.67,2.59,95.87,743.63,3869
KPI-004057,2024-02-28,SITE-0181,CELL-00655,South,4G,95.55,24.57,107.18,1.69,95.19,865.94,6205
KPI-000259,2024-02-28,SITE-0162,CELL-01615,Central,3G,91.78,158.53,2.33,2.17,97.51,112.21,4933
KPI-000984,2024-02-28,SITE-0156,CELL-00675,North,4G,96.92,30.62,104.3,0.35,97.77,141.59,2221
KPI-004839,2024-02-28,SITE-0193,CELL-00048,South,3G,91.01,86.81,3.81,0.4,98.18,639.82,500
KPI-000511,2024-02-28,SITE-0334,CELL-00770,South,5G,97.26,3.21,702.09,2.06,96.84,950.03,4735
KPI-002244,2024-02-28,SITE-0287,CELL-00912,Central,5G,98.66,1.75,439.81,1.61,99.76,446.05,5608
KPI-004386,2024-02-28,SITE-0368,CELL-01013,Central,3G,93.58,121.5,6.02,0.37,96.5,940.94,2361
KPI-004762,2024-02-28,SITE-0130,CELL-00307,East,3G,92.63,139.32,6.6,2.41,95.91,426.32,1770
KPI-000414,2024-02-28,SITE-0466,CELL-01515,South,5G,97.33,2.31,867.56,1.75,97.05,104.93,6268
KPI-001266,2024-02-28,SITE-0283,CELL-01230,North,3G,95.85,89.87,15.94,2.39,99.35,336.43,2408
KPI-003536,2024-02-28,SITE-0319,CELL-01030,Central,3G,96.15,160.62,19.99,1.27,96.05,59.87,4169
KPI-001353,2024-02-28,SITE-0495,CELL-01239,West,5G,98.2,8.17,937.36,0.56,96.24,291.3,4554
KPI-004527,2024-02-28,SITE-0421,CELL-00273,North,4G,96.53,49.62,104.98,2.04,99.59,335.41,2015
KPI-000182,2024-02-28,SITE-0257,CELL-00537,East,5G,98.6,3.22,307.11,2.49,96.78,991.51,7098
KPI-003912,2024-02-28,SITE-0184,CELL-01294,North,5G,99.12,4.39,926.24,2.61,99.22,271.76,4990
KPI-000793,2024-02-28,SITE-0052,CELL-01032,East,4G,99.15,37.76,59.9,1.05,97.53,158.05,8951
KPI-001864,2024-02-28,SITE-0138,CELL-00432,South,5G,97.33,2.32,225.55,1.96,97.2,785.08,1013
KPI-004110,2024-02-28,SITE-0461,CELL-01118,Central,4G,98.03,49.54,52.91,1.67,97.02,531.53,5746
KPI-000445,2024-02-29,SITE-0472,CELL-01317,Central,4G,98.47,40.17,127.02,2.95,99.82,101.61,9890
KPI-003175,2024-02-29,SITE-0320,CELL-01117,North,4G,98.31,46.61,120.45,1.79,97.19,24.01,5529
KPI-003795,2024-02-29,SITE-0226,CELL-01410,North,4G,97.56,21.09,129.21,1.65,98.31,999.82,3884
KPI-004770,2024-02-29,SITE-0449,CELL-01124,East,3G,91.27,85.03,12.44,2.26,98.23,112.27,9565
KPI-003012,2024-02-29,SITE-0101,CELL-01421,South,4G,97.75,40.08,64.41,2.65,98.98,968.07,9703
KPI-004792,2024-02-29,SITE-0415,CELL-00494,East,4G,98.61,49.86,108.3,2.46,98.92,84.65,3349
KPI-000243,2024-02-29,SITE-0484,CELL-01159,North,4G,96.31,46.14,53.66,1.77,98.78,824.27,6494
KPI-000104,2024-02-29,SITE-0082,CELL-01604,East,5G,99.12,5.42,387.45,1.81,96.11,319.59,1459
KPI-003287,2024-02-29,SITE-0259,CELL-00719,East,4G,95.52,46.28,116.25,1.95,99.64,882.46,3726
KPI-001244,2024-02-29,SITE-0191,CELL-00283,East,5G,97.62,9.54,458.65,2.63,95.77,146.77,2894
KPI-004183,2024-02-29,SITE-0371,CELL-01985,South,3G,91.15,194.62,8.75,1.91,96.81,483.13,3180
KPI-002817,2024-02-29,SITE-0122,CELL-01933,Central,4G,99.39,24.78,22.42,0.8,98.99,922.61,4672
KPI-002498,2024-02-29,SITE-0038,CELL-00381,West,4G,97.72,28.89,61.97,2.13,96.07,252.54,5217
KPI-000207,2024-02-29,SITE-0159,CELL-01172,South,4G,98.81,33.42,68.9,0.55,95.28,82.66,8910
KPI-000079,2024-02-29,SITE-0197,CELL-01069,East,4G,95.75,36.08,21.77,2.98,95.46,66.05,947
KPI-001259,2024-02-29,SITE-0267,CELL-00174,East,4G,96.54,44.98,33.84,0.87,99.36,478.76,4765
KPI-003449,2024-02-29,SITE-0124,CELL-01418,West,3G,95.12,165.12,14.04,2.76,97.67,38.09,4095
KPI-003141,2024-03-01,SITE-0498,CELL-00207,South,3G,95.8,159.5,18.23,0.8,99.29,639.67,7196
KPI-001845,2024-03-01,SITE-0311,CELL-00904,Central,5G,98.13,3.63,980.36,1.39,96.34,260.9,1176
KPI-003947,2024-03-01,SITE-0391,CELL-01261,West,3G,94.09,113.3,14.22,0.71,95.89,80.85,4000
KPI-004353,2024-03-01,SITE-0039,CELL-01651,North,5G,99.63,4.67,973.82,1.06,95.76,380.53,894
KPI-002988,2024-03-01,SITE-0297,CELL-00995,North,4G,97.55,26.73,122.73,1.77,97.83,760.35,6979
KPI-000628,2024-03-01,SITE-0102,CELL-01797,Central,3G,92.9,138.71,4.88,0.56,97.42,887.09,1168
KPI-001133,2024-03-01,SITE-0127,CELL-00282,North,4G,96.2,43.34,39.14,0.1,98.88,810.52,1409
KPI-003674,2024-03-01,SITE-0407,CELL-00205,North,4G,99.1,33.38,124.37,2.05,95.9,97.35,7720
KPI-001932,2024-03-01,SITE-0172,CELL-00741,Central,5G,99.59,3.3,507.04,1.19,98.61,642.31,4345
KPI-002099,2024-03-01,SITE-0246,CELL-01343,Central,4G,95.26,33.93,87.18,2.09,98.47,818.02,4942
KPI-001196,2024-03-01,SITE-0386,CELL-01994,West,4G,97.14,46.22,68.82,1.12,98.36,563.58,5487
KPI-004406,2024-03-01,SITE-0121,CELL-00373,South,3G,91.52,172.5,10.01,2.34,99.12,931.96,7214
KPI-003955,2024-03-01,SITE-0074,CELL-00968,East,5G,97.89,2.82,422.7,1.82,99.37,326.53,5108
KPI-001731,2024-03-01,SITE-0386,CELL-00167,South,3G,97.86,90.08,6.27,0.75,98.45,48.38,255
KPI-002414,2024-03-01,SITE-0304,CELL-01747,West,3G,93.21,100.33,17.72,0.15,98.74,409.56,1535
KPI-000757,2024-03-02,SITE-0081,CELL-00547,East,3G,97.31,186.63,7.12,2.83,97.56,478.69,7477
KPI-000699,2024-03-02,SITE-0273,CELL-00859,North,3G,94.25,100.89,1.62,1.6,97.57,835.93,3847
KPI-003822,2024-03-02,SITE-0260,CELL-01673,Central,3G,90.64,110.92,7.58,2.2,95.9,658.7,2402
KPI-004968,2024-03-02,SITE-0249,CELL-01443,West,4G,95.87,42.11,74.72,2.75,95.61,289.16,1733
KPI-004017,2024-03-02,SITE-0262,CELL-01272,South,5G,97.3,6.95,505.05,2.75,98.21,883.34,6298
KPI-004945,2024-03-02,SITE-0176,CELL-01180,East,5G,97.77,7.46,283.63,0.6,99.87,956.39,9478
KPI-002095,2024-03-02,SITE-0443,CELL-01658,North,5G,98.67,6.52,683.65,2.32,95.36,300.35,1800
KPI-001324,2024-03-02,SITE-0206,CELL-00440,East,3G,90.54,101.59,15.39,2.87,96.13,638.45,2965
KPI-004843,2024-03-02,SITE-0180,CELL-00870,North,5G,97.06,10.0,781.04,2.95,96.27,222.68,2742
KPI-004495,2024-03-02,SITE-0222,CELL-00107,West,3G,92.89,197.5,15.81,2.83,97.83,399.08,2843
KPI-001211,2024-03-02,SITE-0079,CELL-00135,South,5G,98.68,9.42,526.03,0.74,96.54,681.47,2606
KPI-000406,2024-03-02,SITE-0249,CELL-00138,East,4G,99.08,44.99,45.79,2.13,96.27,747.54,9228
KPI-002751,2024-03-02,SITE-0194,CELL-00401,North,3G,92.13,82.58,8.62,2.67,98.38,578.2,2802
KPI-000181,2024-03-02,SITE-0062,CELL-01010,East,4G,97.4,34.06,43.59,0.17,97.89,211.4,8128
KPI-004403,2024-03-02,SITE-0328,CELL-01720,North,5G,98.89,8.37,655.63,2.04,97.43,150.71,1061
KPI-002644,2024-03-03,SITE-0486,CELL-01732,West,4G,99.5,39.57,128.45,1.11,96.01,764.59,7782
KPI-003289,2024-03-03,SITE-0456,CELL-00304,East,5G,97.46,6.11,407.25,2.5,96.47,726.73,2116
KPI-000105,2024-03-03,SITE-0376,CELL-01587,North,4G,97.74,46.72,135.72,2.85,99.1,923.57,1006
KPI-000959,2024-03-03,SITE-0019,CELL-01826,Central,3G,94.71,137.53,11.61,0.7,99.07,263.91,2898
KPI-004362,2024-03-03,SITE-0262,CELL-00635,Central,4G,95.69,47.57,108.84,0.53,99.63,181.91,3703
KPI-000014,2024-03-03,SITE-0009,CELL-00617,West,3G,95.17,194.89,11.76,1.16,96.21,368.35,8308
KPI-003120,2024-03-03,SITE-0441,CELL-00920,Central,3G,92.86,84.77,18.41,1.68,98.29,712.88,8524
KPI-001813,2024-03-03,SITE-0454,CELL-01367,West,3G,94.21,166.51,6.2,2.73,95.11,762.84,4504
KPI-000741,2024-03-03,SITE-0015,CELL-00833,South,4G,96.14,21.11,71.67,2.04,96.39,649.48,924
KPI-004116,2024-03-03,SITE-0335,CELL-00547,West,4G,97.31,31.38,32.09,2.56,96.72,938.82,9740
